age,name,sex,q1,q2,q3,q4,q5,q6,q7,q8
45,夢鳩,M,2,2,2,2,4,5,4,5
47,toge7188,M,2,2,2,3,5,3,5,4
48,cocoharu,F,3,4,3,3,4,4,4,4
48,hroto3622,F,4,2,2,2,4,2,4,4
32,hiro_123,M,2,2,2,2,5,5,4,5
48,komeda,F,2,2,2,2,4,4,4,4
28,masatoshi2587,M,3,2,3,3,5,5,5,5
60,takeyama_1d62,M,3,3,3,3,5,5,4,4
53,まこやん33,M,2,2,2,3,4,4,5,4
47,jwyrd,F,3,3,3,3,4,4,4,4
43,tkkogu,M,3,2,3,4,5,1,5,1
22,canken,F,2,2,3,3,4,5,4,5
40,simulacre,M,2,2,2,2,5,4,4,5
44,hiyo_ko,M,2,2,2,2,5,5,5,5
39,mikaduki,F,3,3,3,3,5,5,4,4
29,chisay,F,3,3,3,2,4,3,4,4
51,dsk106,M,3,2,3,3,4,4,4,5
32,Uppy2525,F,3,4,4,3,5,3,3,5
52,camui2370,M,3,4,3,3,4,5,3,4
40,kaeru.suzuki,F,3,3,4,4,4,5,4,3
51,majimajinz,F,4,3,3,3,5,5,5,5
45,マッキー,M,3,3,3,4,5,5,5,4
45,ifeellove315,M,3,3,4,4,5,5,5,4
26,ack,F,2,2,3,2,4,3,3,3
26,tamahiko,F,2,3,3,2,5,5,4,5
24,なべぶた奉行,M,2,3,2,3,3,3,2,3
23,rurusieru,M,3,3,3,3,4,5,4,4
22,mikanitigo,F,3,3,4,3,4,4,3,5
28,lantac8,M,3,3,3,3,4,4,4,4
23,jo6421,M,3,3,3,3,3,3,4,3
27,jasminumusica,F,3,3,3,3,4,3,5,4
27,km085036,F,3,3,3,3,5,4,5,5
25,applepike,F,2,2,2,3,5,4,3,5
29,ckichiro,M,3,3,3,3,5,4,5,3
22,atzeng,F,1,1,1,2,4,4,4,5
26,satobuta3105,M,2,3,2,1,2,4,4,3
24,fuwamu,F,1,2,2,1,4,4,3,3
28,Tokmei1,M,2,2,2,2,4,5,5,5
29,ZENN2,M,3,3,3,3,2,5,4,4
21,st31113607,M,3,2,3,3,5,4,5,5
22,プリンクリーム,F,2,2,3,3,4,2,4,4
29,yamadaa,F,2,2,3,2,4,4,5,5
24,happyturnkulukulri,F,3,3,3,3,4,5,5,5
25,gosei1992,M,3,2,2,2,5,5,5,5
29,masa2357642,M,2,2,2,2,4,3,4,4
21,フェンサー,M,3,2,3,2,4,4,3,4
43,tsutomu1411,M,3,3,3,3,4,4,5,5
31,MRM_JS,F,3,3,3,4,5,5,5,5
29,kotameimi,F,3,3,3,3,5,5,4,5
29,gamochan,F,2,2,4,3,4,4,4,4
47,mg6az76r,F,3,3,3,3,5,5,3,5
