age,name,sex,q1,q2,q3,q4,q5,q6,q7,q8
21,フェンサー,M,2,2,2,3,4,4,1,4
24,なべぶた奉行,M,2,2,3,3,3,3,3,3
35,apple29,F,3,2,3,3,4,4,3,4
26,mimi.othersoo,M,3,3,3,3,5,4,3,4
24,mocha842,F,2,2,2,2,4,5,4,5
24,DG0112,M,4,4,3,4,5,5,4,5
31,nnn3,F,2,1,2,2,5,4,3,4
28,haddock114,M,3,3,3,3,3,4,4,4
21,canavo,F,3,2,3,4,5,5,3,5
28,sayaka.am,F,4,3,3,2,5,5,4,5
20,tsubasafairy1126,F,2,2,2,1,4,5,5,5
24,MtheA,M,3,3,4,4,4,5,5,5
36,riku8,M,3,3,3,3,4,3,3,3
27,blackk,M,3,3,2,4,5,4,3,5
29,gamochan,F,3,3,3,3,4,4,4,4
26,satobuta3105,M,2,2,2,2,2,4,3,2
28,masumi0v0,F,3,3,3,3,4,4,3,5
28,hatakeyamanoriko,F,2,1,3,2,4,5,4,4
29,konyona,F,2,2,2,2,5,4,5,5
27,munir,F,3,3,3,3,4,4,3,5
28,lantac8,M,3,3,3,3,4,3,4,4
27,ssslady,F,4,3,3,4,5,5,5,5
28,masatoshi25871,M,3,2,3,3,5,5,5,5
21,りんちゃん☆,F,2,2,2,2,5,5,4,4
27,rerere0120,F,4,3,4,4,5,5,5,5
25,lily89,F,4,3,4,4,5,5,4,5
28,REMINDER62,F,3,3,4,3,5,5,5,4
